Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Mitch Atkins,Mets,0,0,5.2,0,0,0,1,1,1,0,1,0,1.41,7.31,3.29,5.31,0,0,999,8369
Branden Pinder,Yankees,0,0,5.12,0,1,0,1,1,1,0,1,0,1.48,7.98,4.3,5.31,0,0,999,12093
Tyrell Jenkins,Braves,0,0,5.3,0,0,0,1,1,1,0,1,1,1.64,6.46,4.95,5.31,0,0,999,11378
Miguel Castro,Orioles,0,1,5.24,0,10,0,10,11,6,2,7,5,1.55,6.69,4.08,5.31,-0.1,0,648.2,15684
Jeremy Null,Cubs,0,0,5.12,0,1,0,1,1,1,0,1,0,1.47,6.09,3.41,5.31,0,0,999,sa602382
Jeff Thompson,Tigers,0,0,5.08,0,1,0,1,1,1,0,1,1,1.55,6.92,4.74,5.31,0,0,999,sa707780
Matt Moore,Rangers,8,11,5.37,28,28,0,157,171,94,29,122,61,1.48,7,3.49,5.31,0.6,0.8,442.6,1890
Devin Burke,Rockies,0,0,5.51,0,0,0,1,1,1,0,1,0,1.53,6.16,3.29,5.31,0,0,999,sa577812
Anderson Polanco,,0,0,5.08,0,0,0,1,1,1,0,1,1,1.59,7.15,5.05,5.31,0,0,999,sa596949
Antonio Romero,Indians,0,0,5.14,0,1,0,1,1,1,0,1,0,1.53,7.01,4.43,5.32,0,0,999,sa858133
Josh Prevost,Mets,0,0,5.27,0,0,0,1,1,1,0,1,0,1.55,5.29,3.6,5.32,0,0,999,sa828963
Scott Griggs,Rockies,0,0,5.38,0,1,0,1,1,1,0,1,1,1.68,7.54,5.59,5.32,0,0,999,sa502935
Jesus Anguamea,,0,0,5.11,0,1,0,1,1,1,0,1,1,1.67,7.18,5.8,5.32,0,0,999,sa737569
Mike Augliera,Red Sox,0,0,5.43,0,0,0,1,1,1,0,1,0,1.48,5.81,3.15,5.32,0,0,999,sa621541
Arnaldo Hernandez,Royals,0,0,5.28,0,0,0,1,1,1,0,1,0,1.45,5.8,3.02,5.32,0,0,999,sa828154
Jose Ascanio,,0,0,5.23,0,1,0,1,1,1,0,1,1,1.61,6.36,4.69,5.32,0,0,999,3951
Kyle Kendrick,Red Sox,0,0,5.38,0,0,0,1,1,1,0,1,0,1.44,5.41,2.53,5.32,0,0,999,6230
Jason Creasy,Pirates,0,0,5.35,0,0,0,1,1,1,0,1,0,1.53,5.63,3.6,5.32,0,0,999,sa598099
Edgardo Sandoval,Astros,0,0,5.3,0,1,0,1,1,1,0,1,0,1.53,6.91,4.13,5.33,0,0,999,sa830035
Ryan Lawlor,Braves,0,0,5.13,0,0,0,1,1,1,0,1,1,1.64,7.14,5.46,5.33,0,0,999,sa875198
Alejandro Astorga,,0,0,5.04,0,0,0,1,1,1,0,1,0,1.54,5.72,4.09,5.33,0,0,999,sa508712
Kent Emanuel,Astros,0,0,5.22,0,0,0,1,1,1,0,1,0,1.5,5.7,3.33,5.33,0,0,999,sa549399
Justin Amlung,Nationals,0,0,5.26,0,0,0,1,1,1,0,1,0,1.54,5.57,3.66,5.33,0,0,999,sa602580
Eddie Gamboa,Rays,0,0,4.93,0,1,0,1,1,1,0,1,1,1.5,7.12,4.58,5.33,0,0,999,6911
Merandy Gonzalez,Marlins,0,0,5.28,0,0,0,1,1,1,0,1,0,1.57,5.58,4.12,5.33,0,0,999,sa737381
Luis Rico,Royals,0,0,5.07,0,1,0,1,1,1,0,1,1,1.57,7.19,4.98,5.33,0,0,999,sa597316
Connor Kaden,Giants,0,0,4.99,0,1,0,1,1,1,0,1,1,1.72,5.75,5.97,5.33,0,0,999,sa829437
Adbert Alzolay,Cubs,1,1,5.13,2,2,0,9,10,5,2,7,4,1.46,6.8,3.73,5.33,0,0,693,sa735853
Chris Young,Royals,0,0,5.32,0,1,0,1,1,1,0,1,0,1.44,7.38,3.56,5.33,0,0,999,3196
Kyle Smith,Astros,0,0,5.33,0,0,0,1,1,1,0,1,0,1.48,6.14,3.31,5.33,0,0,999,sa597834
Cory Riordan,Tigers,0,0,5.26,0,0,0,1,1,1,0,1,0,1.41,5.67,2.5,5.33,0,0,999,sa390235
Evan Beal,Royals,0,0,5.21,0,1,0,1,1,1,0,1,1,1.58,6.8,4.76,5.33,0,0,999,sa598103
Michael Zouzalik,Orioles,0,0,5.25,0,1,0,1,1,1,0,1,0,1.5,6.72,3.7,5.33,0,0,999,sa702637
Jordan Jess,Pirates,0,0,5.17,0,1,0,1,1,1,0,1,1,1.64,6.23,4.97,5.33,0,0,999,sa918756
Justin Kelly,Angels,0,0,4.95,0,1,0,1,1,1,0,1,1,1.53,6.54,4.55,5.33,0,0,999,sa918908
Darin Gorski,Mets,0,0,5.04,0,0,0,1,1,1,0,1,0,1.47,7.09,4,5.33,0,0,999,sa501520
Matt Blackham,Mets,0,0,5.11,0,1,0,1,1,1,0,1,1,1.67,7.74,6.07,5.33,0,0,999,sa829631
Tayler Scott,Rangers,0,0,5.26,0,1,0,1,1,1,0,1,1,1.61,7.36,5.08,5.33,0,0,999,sa597840
Jim McDade,Padres,0,0,5.33,0,0,0,1,1,1,0,1,0,1.54,5.59,3.61,5.33,0,0,999,sa873279
Aaron West,Astros,0,0,5.25,0,1,0,1,1,1,0,1,0,1.4,6.31,2.66,5.33,0,0,999,sa658305
Josh Sborz,Dodgers,0,0,5.11,0,0,0,1,1,1,0,1,0,1.5,6.57,4.08,5.33,0,0,999,sa827472
Jorge Zavala,Braves,0,0,5.18,0,1,0,1,1,1,0,1,1,1.7,8.1,6.38,5.33,0,0,999,sa658369
Craig Breslow,Indians,0,0,5.12,0,1,0,1,1,1,0,1,0,1.51,6.52,3.93,5.33,0,0,999,4363
Kyle Haynes,Yankees,0,0,5.26,0,0,0,1,1,1,0,1,0,1.54,6.55,4.07,5.33,0,0,999,sa658506
Scott Weathersby,Astros,0,0,5.37,0,0,0,1,1,1,0,1,0,1.48,6.65,3.37,5.34,0,0,999,sa875241
Jordan Humphreys,Mets,0,0,5.27,0,0,0,1,1,1,0,1,0,1.49,6.41,3.62,5.34,0,0,999,sa875762
Chris Beck,White Sox,0,0,5.2,0,1,0,1,1,1,0,1,0,1.55,6.9,4.31,5.34,0,0,999,13418
Will Carter,Yankees,0,0,5.23,0,0,0,1,1,1,0,1,0,1.56,5.08,3.63,5.34,0,0,999,sa829689
Grant Balfour,Rays,0,0,5.06,0,1,0,1,1,1,0,1,1,1.57,7.25,5.11,5.34,0,0,999,718
Cody Palmquist,Rangers,0,0,5.29,0,1,0,1,1,1,0,1,0,1.49,6.88,3.75,5.34,0,0,999,sa829516
Scott Grist,Brewers,0,0,5.43,0,1,0,1,1,1,0,1,0,1.64,6.08,4.44,5.34,0,0,999,sa876355
Roenis Elias,Red Sox,2,2,5.24,5,5,0,28,29,16,5,21,12,1.5,6.74,3.88,5.34,0,0.2,999,12673
Erubiel Gonzalez,,0,0,5.23,0,1,0,1,1,1,0,1,0,1.53,5.91,3.79,5.34,0,0,999,sa508781
Joe Palumbo,Rangers,0,1,5.09,0,10,0,10,10,6,1,8,7,1.66,7.65,5.86,5.34,-0.1,0,999,sa738453
Ben Lively,Phillies,5,7,5.26,16,16,0,93,101,55,18,69,30,1.41,6.7,2.87,5.34,0.4,0.1,625.3,14932
Tim Lincecum,Angels,0,0,5.27,0,0,0,1,1,1,0,1,0,1.51,6.5,3.92,5.34,0,0,689.2,5705
Brandon S. White,Braves,0,0,5.2,0,1,0,1,1,1,0,1,1,1.65,7.01,5.49,5.34,0,0,999,sa918249
Jonah Wesely,Angels,0,0,4.83,0,1,0,1,1,1,0,1,1,1.64,7.3,6.01,5.34,0,0,999,sa737935
Jake Jewell,Angels,1,1,5.08,2,2,0,9,10,5,1,5,4,1.52,5.17,3.82,5.34,0,0,644.7,sa829312
Dedgar Jimenez,Red Sox,0,0,5.28,0,0,0,1,1,1,0,1,0,1.53,5.3,3.46,5.34,0,0,999,sa736925
Shane McCain,Rangers,0,0,5.22,0,1,0,1,1,1,0,1,0,1.51,6.8,3.82,5.34,0,0,999,sa829919
Tyler Gilbert,Phillies,0,0,5.12,0,1,0,1,1,1,0,1,0,1.53,6.39,4.03,5.34,0,0,999,sa875068
Scott Effross,Cubs,0,0,5.09,0,1,0,1,1,1,0,1,1,1.6,6.31,4.87,5.35,0,0,999,sa857667
Brandon Sinnery,Diamondbacks,0,0,5.37,0,0,0,1,1,1,0,1,0,1.47,5.94,3.05,5.35,0,0,999,sa732032
Cody Wheeler,Orioles,0,0,5.12,0,1,0,1,1,1,0,1,1,1.59,7.74,5.08,5.35,0,0,999,sa548334
Mikey O'Brien,Rays,0,0,5.19,0,0,0,1,1,1,0,1,0,1.47,6.09,3.48,5.35,0,0,999,sa455055
Corey Williams,Twins,0,0,5.11,0,1,0,1,1,1,0,1,1,1.61,7.09,5.2,5.35,0,0,999,sa597867
Sean Hagan,White Sox,0,0,5.14,0,1,0,1,1,1,0,1,0,1.56,6.95,4.48,5.35,0,0,999,sa621635
Jordan Stephens,White Sox,0,0,5.28,0,0,0,1,1,1,0,1,0,1.52,7.28,4.23,5.35,0,0,999,sa875031
Lane Ratliff,Mariners,0,0,5.11,0,0,0,1,1,1,0,1,1,1.6,6.34,4.81,5.35,0,0,999,sa829005
Joe Beimel,Mariners,0,0,5.09,0,1,0,1,1,1,0,1,0,1.55,5.57,3.76,5.35,0,0,999,979
Foster Griffin,Royals,0,0,5.21,0,0,0,1,1,1,0,1,0,1.55,5.79,4.07,5.35,0,0,999,sa828674
Justin Camp,Royals,0,0,5.28,0,1,0,1,1,1,0,1,1,1.58,6.55,4.57,5.35,0,0,999,sa919018
Dominic DeMasi,Indians,0,0,5.25,0,0,0,1,1,1,0,1,0,1.55,4.9,3.61,5.35,0,0,999,sa829567
Enderson Franco,Braves,0,0,5.29,0,0,0,1,1,1,0,1,0,1.53,6.24,3.92,5.35,0,0,999,sa547840
Jake Newberry,Royals,0,0,5.29,0,1,0,1,1,1,0,1,0,1.54,6.47,4.17,5.35,0,0,999,sa659054
Steven Fuentes,Nationals,0,0,5.24,0,1,0,1,1,1,0,1,1,1.64,5.65,4.66,5.35,0,0,999,sa828326
Nathan Bannister,Mariners,0,0,5.28,0,0,0,1,1,1,0,1,0,1.39,6,2.45,5.35,0,0,999,sa857696
Rudy Gonzalez,,0,0,5.18,0,1,0,1,1,1,0,1,1,1.6,6.19,4.72,5.35,0,0,999,sa202758
Sean Townsley,Marlins,0,0,5.27,0,0,0,1,1,1,0,1,1,1.65,5.48,4.76,5.35,0,0,999,sa738352
Jeremy Hellickson,,6,9,5.34,23,23,0,128,145,76,25,86,38,1.42,6.02,2.65,5.35,0.3,0.2,620.2,4371
Jose Taveras,Phillies,0,1,5.26,2,2,0,9,10,5,2,8,3,1.42,7.47,3.36,5.35,0,0,736.3,sa828246
Matthew Kent,Red Sox,0,0,5.33,0,0,0,1,1,1,0,1,0,1.54,5.19,3.44,5.36,0,0,999,sa875610
Brian Miller,Rays,0,0,5.08,0,1,0,1,1,1,0,1,1,1.6,5.85,4.75,5.36,0,0,999,sa827168
Reynaldo Lopez,White Sox,7,10,5.21,24,24,0,138,139,80,26,121,63,1.46,7.87,4.12,5.36,0.5,0.5,377.3,16400
Andrew Sopko,Dodgers,0,0,5.13,0,0,0,1,1,1,0,1,0,1.46,6.49,3.57,5.36,0,0,999,sa658286
J.C. Sulbaran,Cardinals,0,0,5.29,0,0,0,1,1,1,0,1,0,1.48,6.42,3.62,5.36,0,0,999,sa455559
Bobby Parnell,Tigers,0,0,5.22,0,1,0,1,1,1,0,1,1,1.6,6.34,4.76,5.36,0,0,999,9926
Touki Toussaint,Braves,0,0,5.23,0,0,0,1,1,1,0,1,1,1.6,7.97,5.49,5.36,0,0,999,sa828666
Casey Delgado,Mets,0,0,5.25,0,0,0,1,1,1,0,1,0,1.55,6.21,4.1,5.36,0,0,999,sa872243
Garrett Cleavinger,Orioles,0,0,5.04,0,1,0,1,1,1,0,1,1,1.6,7.96,5.45,5.36,0,0,999,sa827423
Shaun Marcum,Indians,0,0,5.22,0,0,0,1,1,1,0,1,0,1.4,6.7,2.9,5.36,0,0,999,6204
Alejandro Mateo,Marlins,0,0,5.37,0,0,0,1,1,1,0,1,0,1.59,5.78,4.34,5.36,0,0,999,sa918495
Brian Keller,Yankees,0,0,5.29,0,0,0,1,1,1,0,1,0,1.51,6.28,3.62,5.36,0,0,999,sa918951
Antonio Garzon,,0,0,5.07,0,1,0,1,1,1,0,1,1,1.62,6.58,5.06,5.36,0,0,999,sa509479
Andres Ivan Meza,,0,0,5.24,0,0,0,1,1,1,0,1,0,1.55,5.13,3.7,5.36,0,0,999,sa508496
Shawn Haviland,Red Sox,0,0,5.34,0,0,0,1,1,1,0,1,0,1.44,6.31,3.17,5.36,0,0,999,sa454866
Derek Self,Nationals,0,0,5.26,0,1,0,1,1,1,0,1,0,1.5,6.2,3.65,5.36,0,0,999,sa577722
Phillippe Aumont,Phillies,0,0,5.22,0,0,0,1,1,1,0,1,1,1.62,8.22,5.65,5.36,0,0,999,5362
Brock Huntzinger,White Sox,0,0,5.18,0,1,0,1,1,1,0,1,1,1.56,7.99,5.08,5.36,0,0,999,sa390376
Jimmy Reyes,Rangers,0,0,5.25,0,1,0,1,1,1,0,1,0,1.52,6.04,3.67,5.36,0,0,999,sa526353
Phil Irwin,Rangers,0,0,5.52,0,0,0,1,1,1,0,1,0,1.51,6.15,3.31,5.36,0,0,999,9489
Joel Payamps,Diamondbacks,0,0,5.38,0,0,0,1,1,1,0,1,0,1.47,5.97,3.13,5.36,0,0,999,sa597219
Jonathan Maciel,,0,0,5.34,0,1,0,1,1,1,0,1,0,1.51,5.49,3.3,5.36,0,0,999,sa738222
Chris Ellis,Cardinals,0,0,5.2,0,0,0,1,1,1,0,1,1,1.52,7.25,4.54,5.37,0,0,999,sa602616
Alex Klonowski,Angels,0,0,5.13,0,0,0,1,1,1,0,1,0,1.44,5.55,3.16,5.37,0,0,999,sa829634
Seth McGarry,Phillies,0,0,5.12,0,1,0,1,1,1,0,1,1,1.69,7.15,5.92,5.37,0,0,999,sa857614
Melvin Adon,Giants,0,0,5.12,0,0,0,1,1,1,0,1,1,1.66,5.26,5.19,5.37,0,0,999,sa873314
Javier Salas,Brewers,0,0,5.39,0,1,0,1,1,1,0,1,1,1.63,7.15,4.94,5.37,0,0,999,sa738903
Jordan Aboites,,0,0,5.25,0,1,0,1,1,1,0,1,1,1.63,6.7,5.12,5.37,0,0,999,sa977122
Johan Yan,,0,0,5.15,0,1,0,1,1,1,0,1,1,1.64,7.1,5.56,5.37,0,0,999,sa328938
Alexis Candelario,,0,0,5.36,0,0,0,1,1,1,0,1,0,1.55,6.16,3.93,5.37,0,0,999,sa3000055
Conner Kendrick,Yankees,0,0,5.16,0,0,0,1,1,1,0,1,0,1.55,6.72,4.33,5.37,0,0,999,sa737927
Jorge De Leon,Astros,0,0,5.31,0,1,0,1,1,1,0,1,0,1.54,7.11,4.3,5.37,0,0,999,5397
Zach Hartman,Dodgers,0,0,5.09,0,1,0,1,1,1,0,1,1,1.6,6.65,5.04,5.37,0,0,999,sa877530
Sam Lewis,Diamondbacks,0,0,5.39,0,0,0,1,1,1,0,1,0,1.53,5.99,3.69,5.37,0,0,999,sa701852
Logan Sendelbach,Pirates,0,0,5.39,0,0,0,1,1,1,0,1,0,1.59,5.1,3.87,5.37,0,0,999,sa875272
Nathan Bates,Angels,0,0,5.02,0,1,0,1,1,1,0,1,1,1.62,6.61,5.4,5.37,0,0,999,sa875717
Andrew Moore,Mariners,3,5,5.27,11,11,0,65,71,38,14,46,17,1.36,6.37,2.3,5.37,0.1,0.1,619.9,17553
Chris Rowley,Blue Jays,0,0,5.38,0,0,0,1,1,1,0,1,0,1.46,6.02,3.09,5.37,0,0,999,18820
Tyler Viza,Phillies,0,0,5.24,0,0,0,1,1,1,0,1,0,1.47,6.25,3.39,5.37,0,0,999,sa738610
Zach Stewart,Orioles,0,0,5.4,0,0,0,1,1,1,0,1,0,1.51,6.72,3.61,5.37,0,0,999,7397
David Schmidt,Astros,0,0,5.27,0,1,0,1,1,1,0,1,1,1.64,6.82,5.2,5.38,0,0,999,sa602878
Paul Clemens,Padres,0,0,5.35,0,0,0,1,1,1,0,1,0,1.52,7,4.05,5.38,0,0,999,8037
Juan Pablo Oramas,,0,0,5.14,0,0,0,1,1,1,0,1,1,1.58,6.54,4.72,5.38,0,0,999,sa508100
Tyler Cravy,Brewers,0,0,5.44,0,1,0,1,1,1,0,1,0,1.54,7.58,4.16,5.38,0,0,999,10770
Reed Garrett,Rangers,0,0,5.37,0,1,0,1,1,1,0,1,0,1.58,6.82,4.49,5.38,0,0,999,sa830040
Michael Smith,Angels,0,0,5.05,0,1,0,1,1,1,0,1,1,1.55,6.56,4.66,5.38,0,0,999,sa738590
Hengerber Medina,Giants,0,0,5.09,0,1,0,1,1,1,0,1,1,1.65,7.01,5.83,5.38,0,0,999,sa659366
Chad Smith,Marlins,0,0,5.24,0,1,0,1,1,1,0,1,1,1.74,6.31,6.09,5.38,0,0,999,sa875373
Keaton Steele,Twins,0,0,5.4,0,0,0,1,1,1,0,1,0,1.55,4.84,3.33,5.38,0,0,999,sa659420
Martires Arias,Padres,0,0,5.2,0,1,0,1,1,1,0,1,1,1.63,7.3,5.53,5.38,0,0,999,sa506939
Bruce Chen,Indians,0,0,5.23,0,0,0,1,1,1,0,1,0,1.4,6.15,2.7,5.38,0,0,999,769
Joe Saunders,Orioles,0,0,5.33,0,0,0,1,1,1,0,1,0,1.58,5.86,3.9,5.38,0,0,999,4366
Michael Cederoth,Giants,0,0,5.03,0,1,0,1,1,1,0,1,1,1.73,7.66,6.93,5.38,0,0,999,sa600253
Emmanuel Ramirez,Padres,0,0,5.27,0,0,0,1,1,1,0,1,1,1.58,6.66,4.62,5.38,0,0,999,sa736752
Will Headean,Padres,0,0,5.13,0,0,0,1,1,1,0,1,1,1.62,6.48,5.04,5.38,0,0,999,sa875618
Brennan Leitao,Cardinals,0,0,5.33,0,1,0,1,1,1,0,1,0,1.57,5.6,3.96,5.39,0,0,999,sa875842
Vic Black,Mets,0,0,5.2,0,1,0,1,1,1,0,1,1,1.65,7.76,5.83,5.39,0,0,999,9195
Ramon Ramirez,,0,0,5.3,0,0,0,1,1,1,0,1,1,1.6,6.3,4.6,5.39,0,0,999,2899
Devon Davis,White Sox,0,0,5.1,0,1,0,1,1,1,0,1,1,1.6,8.05,5.49,5.39,0,0,999,sa830375
Sean McLaughlin,Braves,0,0,5.22,0,1,0,1,1,1,0,1,1,1.64,6.58,5.24,5.39,0,0,999,sa659266
Jose Reyes,Giants,0,0,5.23,0,0,0,1,1,1,0,1,0,1.55,5.29,4.04,5.39,0,0,999,sa551314
Luis Payan,,0,0,5.3,0,1,0,1,1,1,0,1,0,1.59,6.02,4.37,5.39,0,0,999,sa977116
Christian Bergman,Mariners,0,0,5.33,0,0,0,1,1,1,0,1,0,1.43,5.53,2.52,5.39,0,0,999,10925
Nolan Riggs,Giants,0,0,5.12,0,1,0,1,1,1,0,1,1,1.63,5.98,5.21,5.39,0,0,999,sa840024
Anthony Capra,,0,0,5.2,0,0,0,1,1,1,0,1,1,1.64,6.4,5.1,5.39,0,0,999,sa454524
Chance Adams,Yankees,0,0,5.23,0,0,0,1,1,1,0,1,0,1.48,7.74,4.2,5.39,0,0,453.2,sa875066
Juan Ramon Noriega,,0,0,5.21,0,1,0,1,1,1,0,1,1,1.58,6.96,4.83,5.39,0,0,999,sa543294
Ricky Romero,Blue Jays,0,0,5.18,0,1,0,1,1,1,0,1,1,1.62,6.8,5.14,5.39,0,0,999,3403
Confesor Lara,Tigers,0,0,5.24,0,1,0,1,1,1,0,1,0,1.49,6.48,3.77,5.39,0,0,999,sa547772
Hector Noesi,White Sox,0,0,5.33,0,0,0,1,1,1,0,1,0,1.45,7.05,3.32,5.39,0,0,999,3292
Tyler Wilson,Orioles,3,4,5.43,8,28,0,66,78,40,12,40,21,1.49,5.46,2.84,5.39,0,-0.2,999,12691
Bryan Verbitsky,Padres,0,0,5.18,0,1,0,1,1,1,0,1,1,1.65,7.37,5.72,5.39,0,0,999,sa707775
Jordan Kipper,Orioles,0,0,5.41,0,0,0,1,1,1,0,0,0,1.58,4.45,3.35,5.4,0,0,999,sa602555
Aaron Kurcz,Athletics,0,0,5.27,0,1,0,1,1,1,0,1,0,1.49,7.05,3.99,5.4,0,0,999,sa549903
Nicholas Gonzalez,Giants,0,0,5.15,0,0,0,1,1,1,0,1,0,1.59,5.19,4.36,5.4,0,0,999,sa549832
Jean Granado,,0,0,5.27,0,0,0,1,1,1,0,1,0,1.6,5.46,4.17,5.4,0,0,999,sa199983
Esmailin Caridad,,0,0,5.3,0,1,0,1,1,1,0,1,1,1.58,6.87,4.65,5.4,0,0,999,5284
